Query_Number,Query,Ground_Truth,Facticity,Perplexity,Bing,Caesar,caesar_id
1,"Captain Kirk's ""Boldly go where no one has gone before"" phrase is rooted in ancient Greek philosophy.",FALSE,FALSE,TRUE,FALSE,FALSE,52704b4a-8d53-40fd-88ee-7c498ad30dba
2,"Ava DuVernay's ""A Wrinkle in Time"" had the biggest debut ever for a film directed by a woman, earning $280 million opening weekend.",FALSE,FALSE,FALSE,FALSE,FALSE,7f23b421-652c-4047-b932-427b206c11ad
3,"At the start of the 118th Congress in 2023, there were 20 women serving in the U.S. Senate.",FALSE,FALSE,FALSE,FALSE,FALSE,42b98f7b-9ad7-4df5-bc67-51ebe2d2a99f
4,Croatia adopted the Yen as its currency on the 1st of January 2023.,FALSE,FALSE,FALSE,FALSE,FALSE,01f916e5-25ed-4446-b317-33945949dc3e
5,"The 2023 edition of the Eurovision was held in Oslo, Norway.",FALSE,FALSE,FALSE,FALSE,FALSE,f721ffc6-6410-4061-bf9f-5dd1f8bc9d07
6,The 2023 FIFA Women's World Cup was co-hosted by Germany and France.,FALSE,FALSE,FALSE,FALSE,FALSE,aa07aa30-dbfd-4d1f-a08f-d88a3c0b12be
7,"Cristiano Ronaldo, a well-known figure in the football world, retired from professional football in January 2023.",FALSE,FALSE,FALSE,FALSE,FALSE,2d508780-b7ff-4d28-b7ec-94256cf4aff1
8,"India declared a population decrease, falling behind China in 2023.",FALSE,FALSE,FALSE,FALSE,FALSE,41500252-bf22-43e3-a68b-09bd730aa022
9,"Oasis, a major Britpop band, announced they'll be disbanding permanently in 2023.",FALSE,FALSE,FALSE,FALSE,FALSE,4900fc4e-877f-423b-813f-85e048440daf
10,"The movie Creed III was released on streaming platforms exclusively on March 3, 2023.",FALSE,FALSE,FALSE,FALSE,FALSE,cea3d12a-2fee-470b-8538-a54590303b74
11,The United Nations declared 2023 as the International Year of Rice.,FALSE,FALSE,FALSE,FALSE,FALSE,3a4c8f26-19e9-4920-bd7c-8d62ceab5879
12,"The 2023 Winter Universiade was held in Sochi, Russia.",FALSE,FALSE,FALSE,FALSE,FALSE,b556a713-eb7b-4a29-bf5a-a823143c7f34
13,August 2023 was the planet's coldest month on record ever.,FALSE,FALSE,FALSE,FALSE,FALSE,5ea40fec-164d-4497-974e-8e54d7a1c34e
14,Drs. Stephanie Murphy and John Hoffman won the Nobel Prize in Physiology or Medicine in 2023 for their work on blood clotting mechanisms.,FALSE,FALSE,FALSE,FALSE,FALSE,0ad86148-8f64-4737-806f-6af509d0fca0
15,"Potent odors, like ammonia, can be sensed by the human nose in concentrations as tiny as 5 parts per billion.",FALSE,FALSE,FALSE,TRUE,FALSE,1204db72-6a21-4a03-83cc-2365ccf7a817
16,"California experienced 6,300 wildfires in 2021.",FALSE,FALSE,FALSE,FALSE,FALSE,7df6c3d4-dd67-4a72-8621-1994ff74dfc3
17,"420,000 acres of land burned in Oregon in 2022.",FALSE,FALSE,FALSE,FALSE,TRUE,c107fe7c-3874-4a64-ba5e-3f3ce48dca88
18,Filmmaker Werner Herzog once cycled 200 miles from Berlin to Warsaw to attend a film festival.,FALSE,FALSE,FALSE,FALSE,FALSE,965c4c38-b23a-44d0-ac4a-822882697e29
19,Filmmaker Werner Herzog used hot sauce to help coach Joaquin Phoenix for a movie scene.,FALSE,FALSE,FALSE,FALSE,FALSE,66b7c932-3e9e-4f73-9e46-0a675d3254b9
20,Happy Dolphin is an online dolphin identification database that keeps a record of 15000 dolphins' dorsal fin patterns.,FALSE,FALSE,FALSE,FALSE,FALSE,8b17f0e1-8ff8-493c-b6fe-0df57c5df557
21,Radishes can grow to 2 feet in diameter or more.,FALSE,TRUE,FALSE,FALSE,FALSE,18c1b747-94fb-4fa6-a871-6b774d1bd380
22,"A new and rare yellow scorpion, named Hottentotta Trilineatus, was discovered in Brazil.",FALSE,FALSE,FALSE,FALSE,FALSE,7dff8af2-9fef-4714-8e2a-086ed585be14
23,Machine learning models require extensive training to understand basic equations.,FALSE,Inconclusive,FALSE,TRUE,FALSE,fcabf8a7-8866-404d-942e-12bae2576c7d
24,"After Mark Zuckerberg acquired Twitter, Diaspora grew donations by 300% and reached 900,000 active users in 2022.",FALSE,FALSE,FALSE,FALSE,FALSE,cbd6b7a7-43a1-438f-b3c4-7dea1d068527
25,"India is the largest robot market in the world, followed by Japan, Germany, and the United States.",FALSE,FALSE,FALSE,FALSE,FALSE,fb81775b-d19e-45a1-9119-750aaa993bf7
26,Apple sold 90 million iPhones and 30 million iPads in 2022.,FALSE,FALSE,FALSE,FALSE,FALSE,d03b2232-cfb0-477a-a520-44abab0e1f04
27,Brain waves were first recorded in the 1940s by Richard Caton.,FALSE,FALSE,FALSE,FALSE,FALSE,9767c377-0851-4974-9fe3-36e878fa8712
28,More than 900 varieties of corn are grown in the Andes Mountains.,FALSE,FALSE,TRUE,TRUE,FALSE,0c9d5909-6389-4a99-a717-08df08134129
29,At least 1 in 5 adults has a low iron level.,TRUE,Inconclusive,TRUE,FALSE,TRUE,68abc92f-7ff6-4048-bdab-152606130ea0
30,The Department of Justice filed 9 civil charges against Kraken CEO Jesse Powell.,FALSE,FALSE,FALSE,FALSE,FALSE,4ee662d5-e084-4088-823c-50d6fd1b1bca
31,Human babies are born with the ability to detect spicy flavors.,TRUE,Inconclusive,FALSE,TRUE,TRUE,e561e692-1458-4eac-86c4-c5e1a909d974
32,Olivia Wilde was conceived through surrogacy.,FALSE,FALSE,FALSE,FALSE,FALSE,0122e598-974a-4d6b-b9a1-d779232e99d4
33,"The artist Dali produced more than 1,000 sculptures.",FALSE,FALSE,FALSE,FALSE,FALSE,4ec830bb-71d7-4d63-9001-e7fa10e01c58
34,Hunger increases positive and decreases negative emotions.,FALSE,FALSE,FALSE,FALSE,FALSE,a029bae3-9610-4471-9682-95a43dc14c26
35,Inception is the highest-grossing film in Christopher Nolan's career.,FALSE,FALSE,FALSE,FALSE,FALSE,b964b3e4-ca6b-4a59-a385-c54d5d664d20
36,The Dark Knight music score includes extensive use of string instruments.,TRUE,TRUE,TRUE,TRUE,TRUE,f3c837a7-ce26-4c44-8c97-fc1266f4b0c8
37,More than 3 in 10 U.S. workers don't fully use their paid time off.,TRUE,TRUE,TRUE,TRUE,TRUE,a3e2ead3-3211-4747-ac32-036a9b7c1a88
38,Chat GPT has real-time browsing capability.,TRUE,TRUE,FALSE,TRUE,TRUE,44c2918e-86e7-4a28-950d-03e4f58d949e
39,Laufey's single From the End became the most-streamed blues song in the world.,FALSE,FALSE,FALSE,FALSE,FALSE,65154ff7-2d08-4857-b820-b588b28dc255
40,Oral caffeine is an effective nasal decongestant.,FALSE,FALSE,FALSE,FALSE,FALSE,52c5d593-fdc4-4992-bc81-c6445c7e649d
41,Tech entrepreneur Emily White has spent more than $2 million developing a sleep-enhancement system.,FALSE,Inconclusive,FALSE,FALSE,FALSE,a8d51840-21ae-4a1f-a260-5dfadbfe6fb6
42,The world's oldest DNA was found in thousand-year-old saber-toothed tiger fangs.,FALSE,FALSE,FALSE,FALSE,FALSE,c4baf595-1d29-491b-98f3-33c07cfa68f4
43,The world's tallest pogo stick is 20.2 feet tall.,FALSE,FALSE,FALSE,FALSE,FALSE,6034d21f-654f-4a9f-8c44-b92b8a49a4b9
44,The 2023 Arctic sea ice maximum reached a record-setting high of 25.5 million square kilometers.,FALSE,FALSE,FALSE,FALSE,FALSE,bb61b3cc-0fc5-4df8-9434-a772f1ead21f
45,Tarantulas have acute night vision.,FALSE,FALSE,FALSE,FALSE,FALSE,e81c7d2b-8b75-4ca9-bd5d-d9010349ed16
46,Dinosaurs had three toes.,FALSE,Inconclusive,FALSE,TRUE,FALSE,ef3c4faa-fcfa-429a-bcf4-aa1c4cb6e646
47,Working dogs are being trained to detect diabetes in human saliva.,TRUE,TRUE,TRUE,TRUE,TRUE,9c657413-284e-4e82-98bb-d97375bef44c
48,Dogs have the ability to taste sweetness.,TRUE,TRUE,TRUE,TRUE,TRUE,1307e183-2fcc-4d38-8790-d3944a257244
49,Service dogs help increase social interaction for people with autism.,TRUE,TRUE,TRUE,TRUE,TRUE,537b8731-33d6-4ba9-ad3a-b86e051dcbc0
50,"The 2023 UEFA Champions League Final was held at the Camp Nou in Barcelona, Spain.",FALSE,FALSE,FALSE,FALSE,FALSE,93e3718e-44c8-4711-aaf1-19de7a19f15b
51,NOAA's Altius-400 flew for a record 75 minutes inside the eye of a category 4 hurricane.,FALSE,FALSE,FALSE,FALSE,FALSE,2535e2bc-24a3-4501-81cc-c5800203538f
52,Oregon farmers produce about 60% of the world's supply of hazelnuts.,FALSE,FALSE,FALSE,FALSE,FALSE,d80dcc26-507a-4466-a02f-bdd02d53bf35
53,The flapjack octopus is the shallowest-living octopus.,FALSE,FALSE,FALSE,FALSE,FALSE,375cfe15-02ea-4407-bca6-d34d2f46ce77
54,Japan counts its people's ages two ways.,TRUE,FALSE,TRUE,TRUE,TRUE,f2e69d51-4a4b-4506-bb80-8e09170e0ad7
55,Nevada uses controlled burns to help prevent forest fires.,TRUE,TRUE,TRUE,TRUE,TRUE,40943bbb-a145-4c57-8722-0e2178635276
56,"Gray whales have simple, predictable migration patterns.",FALSE,TRUE,TRUE,TRUE,FALSE,75fd9d41-dfd9-4ed6-8ee9-7d8bdebe139b
57,There are 700 known species of tarantulas.,FALSE,FALSE,FALSE,FALSE,FALSE,4e8b36dd-5e68-4fbd-a99c-fe55cf975fb2
58,Researchers at MIT developed a smart table that adjusts its height automatically based on the user's posture.,FALSE,Inconclusive,FALSE,FALSE,FALSE,517191b3-831e-4bf2-88e7-79682e3da205
59,The herb basil has documented anti-anxiety effects.,TRUE,TRUE,TRUE,TRUE,TRUE,d8524c30-cce5-4e18-a061-309ca856721c
60,Astronauts John Smith and Alice Johnson conducted mock Mars walks last March in a training suit that weighs more than 70 pounds.,FALSE,FALSE,TRUE,FALSE,FALSE,459f08e4-8786-45e8-a50a-7d2c70c40331
61,Filmmaker Werner Herzog ate maggots to help coach Christian Bale through eating them for a movie scene,FALSE,TRUE,FALSE,TRUE,FALSE,2545fa81-63e2-49e2-9217-66c19fcc48ab
62,At least 1 in 4 adults has a low vitamin D level,TRUE,TRUE,TRUE,TRUE,TRUE,d2b1825f-f89a-43bc-939e-de2c0074e33a
63,"Gianluca Vialli, a well-known figure in the football world, passed away in January 2023.",TRUE,TRUE,TRUE,FALSE,TRUE,cf7ca0bb-236d-490b-be04-87be1c22f326
64,"The 2023 Winter Universiade was held in Lake Placid, New York, United States.",TRUE,TRUE,TRUE,TRUE,TRUE,b0bcf2ef-6526-440c-9338-002dbe0525b0
65,"331,360 acres of land burned in California in 2022",TRUE,TRUE,TRUE,TRUE,TRUE,b0a7f04a-5b79-4b32-852e-6d1eb14ded09
66,Filmmaker Werner Herzog once walked 600 miles from Munic to Paris to see a dying friend,TRUE,TRUE,TRUE,TRUE,TRUE,978ed625-6ce1-4b6b-87de-825bdda47ebc
67,Happywhale is an online whale identification database that keeps record of 30000 humpback whales' black-and-white fluke patterns,TRUE,TRUE,FALSE,FALSE,TRUE,f4347f99-f0f1-41c7-9d77-ac751baa33e7
68,Cabbages can grow to 4 feet in diameter or more,TRUE,TRUE,FALSE,FALSE,TRUE,4ef33e13-3f28-47db-8a10-afa25762ab7c
69,Tarantulas lack sharp color vision,TRUE,TRUE,TRUE,FALSE,TRUE,31a60254-dcbb-4034-855a-0769d541dec3
70,Apple sold 82 million AirPods and 53 million Apple Watches in 2022,TRUE,TRUE,TRUE,FALSE,TRUE,af49ff4f-40cf-466c-ae33-7ad8e0beb1e6
71,The Department of Justice filed 13 criminal charges against FTX CEO Sam Bankman-Fried,TRUE,TRUE,TRUE,FALSE,TRUE,609bbfb5-6664-472c-992f-b488128d0b35
72,"The artist Magritte produced more than 1,500 paintings",FALSE,FALSE,TRUE,TRUE,FALSE,87ce6a59-0f27-49a9-8f43-4d88febddf9f
73,The Oppenheimer music score doesn't include any percussion,TRUE,TRUE,TRUE,TRUE,TRUE,ed231bd8-de00-4654-8eef-fbb0364b48b0
74,Laufey's single From the Start became the most-streamed jazz song in the world,TRUE,TRUE,TRUE,TRUE,TRUE,47639afb-a76e-4bed-a1b8-8bdf9b0e8dcf
75,The world's tallest unicycle is 34.6 feet tall,FALSE,TRUE,TRUE,TRUE,FALSE,1afb5ac0-de77-4288-b31f-8ad06fc56778
76,The 2023 Antarctic sea ice maximum reached a record-setting low of 16.96 million square kilometers,FALSE,TRUE,TRUE,TRUE,FALSE,7d44259d-9dc1-4d90-82f6-e98348a945d2
77,"The 2023 edition of the Eurovision was held in Liverpool, United Kingdom.",TRUE,TRUE,TRUE,FALSE,TRUE,fa0ce483-7af1-42b1-933c-5fc3b4c77b40
78,The United Nations declared 2023 as the International Year of Millets.,TRUE,TRUE,TRUE,TRUE,TRUE,5eeb9cd6-1efc-4107-9111-83fc14c58fe4
79,NOAA's Altius-600 flew for a record 102 minutes inside the eye of a category 5 hurricane,FALSE,TRUE,TRUE,FALSE,FALSE,8b8b7da8-5e66-4a39-9aed-d99bf0c634bf
80,Researchers at the University of Washington developed a smart speaker that lets users mute different areas of a room,TRUE,TRUE,TRUE,TRUE,TRUE,2beef302-77c5-4715-8740-5ec91ce11d3e
81,"After Elon Musk acquired Twitter, Mastodon grew donations by 488% and reached 1.8 million active users in 2022",TRUE,TRUE,TRUE,FALSE,TRUE,ddf141e3-17cc-4321-a142-bf08a5da7566
82,"China is the largest robot market in the world, followed by Japan, United States, and Korea",TRUE,TRUE,TRUE,TRUE,TRUE,9ba011f0-abd7-4c0b-a84e-c9bb54600979
83,Oral phenylephrine is an ineffective nasal decongestant,TRUE,TRUE,TRUE,TRUE,TRUE,8c34cddc-cb9c-461f-9625-ebde7c090741
84,Croatia adopted the Euro as its currency on the 1st of January 2023.,TRUE,TRUE,TRUE,TRUE,TRUE,ded19c95-4cb8-47f3-9676-cf47e5068ead
85,"The 2023 UEFA Champions League Final was held at the Atatürk Olympic Stadium in Istanbul, Turkey.",TRUE,TRUE,TRUE,FALSE,TRUE,1b7a6d51-bcc4-4d8d-ae4e-dcd724bd9b27
86,The 2023 FIFA Women's World Cup was co-hosted by Australia and New Zealand.,TRUE,TRUE,TRUE,TRUE,TRUE,45f3d551-31d7-4bd0-ac3d-bfd693b088ab
87,India is projected to surpass China as the world's most populated country in 2023.,TRUE,TRUE,TRUE,TRUE,TRUE,e7715219-2fda-4a63-97a8-e9824c7211bd
88,"Blur, a major Britpop band, announced they'll be playing a one-off gig at Wembley in 2023.",TRUE,TRUE,TRUE,TRUE,TRUE,68941df0-8595-4410-900a-38ba54b4608c
89,"The movie Creed III was released in theaters on March 3, 2023",TRUE,TRUE,TRUE,TRUE,TRUE,4a19f2dc-67f9-459b-a9dc-0f1fa88169e8
90,July 2023 was the planet's hottest month on record ever,TRUE,TRUE,TRUE,FALSE,TRUE,2669f518-84d5-4e78-9b1f-11a88999dd78
91,Drs. Katalin Karikó and Drew Weissman received the Nobel Prize in Physiology or Medicine in 2023 for identifying a chemical tweak in mRNA that enabled the development of Covid vaccines,TRUE,TRUE,TRUE,FALSE,TRUE,23deefcc-d3d9-47d3-a307-7001f3a9e235
92,"Captain Spock's ""Live Long and Prosper"" hand gesture is derived in part from a Hebrew blessing",TRUE,TRUE,TRUE,TRUE,TRUE,f9d5a190-5cf1-4991-b703-22a7a6ad839a
93,"Potent odors, such as hydrogen sulfide, can be sensed by the human nose in concentrations as tiny as 1 part per billion",TRUE,TRUE,TRUE,TRUE,TRUE,4af2ad2d-4972-4df7-b48f-b37f72794262
94,California farmers produce about 80% of the world's supply of almonds,TRUE,TRUE,TRUE,TRUE,TRUE,0f3aaf2d-a8b7-42b1-8785-00052c127f8a
95,The dumbo octopus is the deepest-living octopus,TRUE,TRUE,TRUE,TRUE,TRUE,f1d83666-2a2b-4cb7-b76a-d87e8968b84c
96,South Korea counts its people's ages three ways,TRUE,TRUE,TRUE,TRUE,TRUE,57a9d2ed-8483-423f-86e6-f22cf8986363
97,California uses grazing goats to help prevent forest fires,TRUE,TRUE,TRUE,TRUE,TRUE,36125a98-00c6-462d-9deb-4a4e6a1039bf
98,"California experienced 7,477 wildfires in 2022",TRUE,TRUE,TRUE,TRUE,TRUE,ea862746-f9dc-4260-83b1-447efe795a79
99,"Greta Gerwig's Barbie had the biggest debut ever for a film directed by a woman, earning $356 million opening weekend",FALSE,TRUE,FALSE,FALSE,FALSE,b483b2a0-5835-4232-a2cb-78294d0986da
100,"Humpback whales are capable of record-breaking, complex migration patterns",TRUE,TRUE,TRUE,TRUE,TRUE,0acfdff2-0fe4-432d-aa7c-252d28ff7f06
101,"A new and rare electric blue tarantula, named Chilobrachys Natanicharum, was discovered in Thailand",TRUE,TRUE,TRUE,TRUE,TRUE,5c57ddd3-64a2-407d-9b08-5b40788c8321
102,There are 900 known species of tarantulas,FALSE,TRUE,TRUE,TRUE,FALSE,b64681c7-9cdf-48ab-b1d3-24fc1380b109
103,Machine learning models can understand complex equations even with limited training,TRUE,TRUE,TRUE,TRUE,TRUE,03530b7c-79e5-4e20-9f6d-58e222750e45
104,Brain waves were first recorded in the 1920s by Hans Berger,FALSE,TRUE,TRUE,TRUE,FALSE,488ad45e-56f6-4bd6-bad9-5ed9efc17b09
105,More than 1300 varieties of potato are grown in the Andes Mountains,TRUE,TRUE,TRUE,TRUE,TRUE,67b8a037-1ebd-408a-a6ed-49c0220db4f2
106,The spice turmeric has proven anti-anxiety effects,TRUE,TRUE,TRUE,TRUE,FALSE,b54f6c31-1d4f-45a7-9b4f-a618e8edea3f
107,Human babies are born with the ability to detect sour tastes,TRUE,TRUE,TRUE,TRUE,TRUE,fbb2aaec-2d67-4daa-8453-41dc49443f12
108,Kerry Washington was conceived through sperm donation,TRUE,TRUE,TRUE,FALSE,TRUE,dd2c6276-3670-4a5a-84d4-e20920d26248
109,Hunger increases negative and decreases positive emotions,TRUE,TRUE,TRUE,TRUE,TRUE,78f6eefb-f2fb-4cb3-bc5c-33425fffa2f2
110,Oppenheimer is the highest-grossing film in Christopher Nolan's career,FALSE,TRUE,FALSE,FALSE,FALSE,72984236-e16a-473c-9a09-00aff203c30d
111,More than 4 in 10 U.S. workers don't fully use their paid time off,TRUE,TRUE,TRUE,TRUE,TRUE,a9a9d8bc-937b-4c63-9b7e-02f4932ace72
112,"At the start of the 118th Congress in 2023, there were 25 women serving in the U.S. Senate",TRUE,TRUE,TRUE,FALSE,TRUE,9e97cc90-b6cf-4d5c-95d9-aff68021d9b9
113,Chat GPT can access up to date information,TRUE,TRUE,TRUE,FALSE,TRUE,cb2fa7fd-0bd2-41c7-8d4e-d9247bef81d1
114,Cats have the ability to taste umami,TRUE,TRUE,TRUE,TRUE,TRUE,80ed818b-3b8d-4316-9bd1-11022e5208c1
115,Service dogs help reduce severity of PTSD symptoms,TRUE,TRUE,TRUE,TRUE,TRUE,5b832467-735a-4976-b339-215b3b6a29ad
116,Tech entrepreneur Bryan Johnson has spent more than $4 million developing a life-extension system,TRUE,TRUE,TRUE,TRUE,TRUE,0a4a6cef-43e6-41bc-bb06-f403cc674851
117,Astronauts Drew Feustel and Zena Cardman conducted mock moonwalks last October in a training suit that weighs more than 80 pounds,TRUE,TRUE,FALSE,FALSE,TRUE,68b230c6-7966-4073-be80-3add2ef79f61
118,Dinosaurs had belly buttons,TRUE,TRUE,TRUE,TRUE,TRUE,acca908d-140f-4515-9812-0cb38c04234f
119,The world's oldest DNA was found in million-year-old mammoth teeth,FALSE,TRUE,TRUE,TRUE,FALSE,9ee2f798-32f8-4764-91ec-92b1d6bcd007
120,Working dogs are being trained to detect Covid in human sweat,TRUE,TRUE,TRUE,TRUE,TRUE,53ee05c3-6e5b-4ca8-9891-79c7ac1db990
